FF 323; FL 119; FR 292; LL 999; RR 192; ER       4310; EL      3915
FF 310; FL 237; FR 219; LL 999; RR 999; ER       4354; EL      3887
FF 310; FL 999; FR 181; LL 177; RR 999; ER       4355; EL      3887
FF 311; FL 999; FR 184; LL 170; RR 999; ER       4355; EL      3887
FF 308; FL 999; FR 182; LL 174; RR 999; ER       4355; EL      3887
FF 307; FL 999; FR 180; LL 173; RR 999; ER       4355; EL      3887
FF 306; FL 999; FR 181; LL 167; RR 999; ER       4392; EL      3915
FF 302; FL 999; FR 172; LL 149; RR 999; ER       4461; EL      3973
FF 287; FL 999; FR 158; LL 112; RR 999; ER       4527; EL      4035
FF 276; FL 999; FR 152; LL 129; RR 999; ER       4593; EL      4098
FF 255; FL 307; FR 142; LL 269; RR 999; ER       4572; EL      4149
FF 232; FL 999; FR 172; LL 124; RR 100; ER       4526; EL      4175
FF 245; FL 999; FR 248; LL 170; RR 119; ER       4566; EL      4206
FF 229; FL 999; FR 237; LL 130; RR 124; ER       4624; EL      4259
FF 211; FL 999; FR 232; LL 125; RR 124; ER       4689; EL      4316
FF 185; FL 999; FR 219; LL 216; RR 124; ER       4759; EL      4378
FF 161; FL 999; FR 203; LL 303; RR 126; ER       4746; EL      4431
FF 164; FL 314; FR 175; LL 181; RR 136; ER       4707; EL      4460
FF 221; FL 329; FR 164; LL 127; RR 156; ER       4754; EL      4495
FF 184; FL 329; FR 151; LL 139; RR 160; ER       4815; EL      4548
FF 155; FL 321; FR 134; LL 183; RR 175; ER       4876; EL      4605
FF 130; FL 318; FR 111; LL 232; RR 182; ER       4853; EL      4656
FF 368; FL 325; FR  98; LL 154; RR 178; ER       4806; EL      4691
FF 315; FL 336; FR 116; LL 190; RR 132; ER       4846; EL      4731
FF 310; FL 323; FR 110; LL 149; RR 126; ER       4905; EL      4784
FF 295; FL 307; FR 107; LL 138; RR 112; ER       4889; EL      4832
FF 291; FL 310; FR 336; LL 234; RR  93; ER       4837; EL      4867
FF 285; FL 201; FR 346; LL 401; RR  85; ER       4879; EL      4911
FF 276; FL 203; FR 340; LL 406; RR  85; ER       4943; EL      4970
FF 260; FL 215; FR 324; LL 372; RR  91; ER       5013; EL      5032
FF 236; FL 235; FR 316; LL 133; RR 279; ER       5082; EL      5091
FF 215; FL 245; FR 306; LL 111; RR 562; ER       5060; EL      5138
FF 203; FL 197; FR 254; LL 133; RR 386; ER       5018; EL      5172
FF 222; FL 155; FR 231; LL 999; RR 403; ER       5065; EL      5214
FF 205; FL 149; FR 218; LL 999; RR 402; ER       5129; EL      5274
FF 182; FL 145; FR 198; LL 118; RR 415; ER       5192; EL      5332
FF 161; FL 141; FR 177; LL 102; RR 421; ER       5255; EL      5330
FF 139; FL 176; FR 188; LL  95; RR 402; ER       5318; EL      5308
FF 140; FL 179; FR 237; LL 105; RR 470; ER       5373; EL      5350
FF 120; FL 149; FR 215; LL 113; RR 473; ER       5432; EL      5404
FF 102; FL 123; FR 188; LL 121; RR 436; ER       5494; EL      5462
FF  80; FL  99; FR 163; LL 129; RR 419; ER       5505; EL      5475
FF  74; FL  96; FR 156; LL 128; RR 420; ER       5505; EL      5475
FF  74; FL  96; FR 155; LL 128; RR 414; ER       5505; EL      5475
FF  75; FL  98; FR 157; LL 127; RR 427; ER       5505; EL      5475
FF  78; FL  97; FR 153; LL 130; RR 418; ER       5474; EL      5451
FF  87; FL 114; FR 171; LL 126; RR 421; ER       5415; EL      5401
FF 106; FL 133; FR 194; LL 118; RR 436; ER       5410; EL      5396
FF 103; FL 138; FR 189; LL 117; RR 434; ER       5410; EL      5396
FF 104; FL 137; FR 194; LL 118; RR 430; ER       5365; EL      5362
FF 120; FL 160; FR 211; LL 112; RR 437; ER       5303; EL      5303
FF 141; FL 196; FR 238; LL 106; RR 450; ER       5300; EL      5299
FF 144; FL 194; FR 236; LL 106; RR 473; ER       5263; EL      5266
FF 154; FL 207; FR 247; LL 104; RR 474; ER       5207; EL      5217
FF 174; FL 219; FR 264; LL  96; RR 479; ER       5204; EL      5215
FF 173; FL 218; FR 256; LL 101; RR 487; ER       5168; EL      5187
FF 188; FL 217; FR 263; LL  95; RR 494; ER       5107; EL      5136
FF 204; FL 200; FR 279; LL  86; RR 511; ER       5102; EL      5132
FF 205; FL 193; FR 261; LL  90; RR 503; ER       5059; EL      5099
FF 217; FL 175; FR 272; LL 101; RR 504; ER       4999; EL      5043
FF 238; FL 173; FR 298; LL 314; RR 370; ER       4997; EL      5040
FF 240; FL 173; FR 288; LL 318; RR 351; ER       4997; EL      5040
FF 237; FL 173; FR 287; LL 327; RR 351; ER       4960; EL      5010
FF 251; FL 172; FR 295; LL 384; RR 157; ER       4903; EL      4960
